scale_factor,num_chunks,method,avg_query_latency_ms,index_time_ms,memory_mb
1,558,tfidf,1.0262330373128254,3573.4872817993164,812.484375
1,558,minhash,0.8289813995361328,3573.4872817993164,812.484375
1,558,simhash,3.618001937866211,3573.4872817993164,812.484375
1,558,hybrid,5.1203568776448565,3573.4872817993164,812.484375
2,1116,tfidf,1.4886061350504558,7931.89001083374,679.671875
2,1116,minhash,0.9362697601318359,7931.89001083374,679.671875
2,1116,simhash,4.113038380940755,7931.89001083374,679.671875
2,1116,hybrid,6.27899169921875,7931.89001083374,679.671875
5,2790,tfidf,2.2432804107666016,15965.90280532837,682.078125
5,2790,minhash,1.1966228485107422,15965.90280532837,682.078125
5,2790,simhash,4.059791564941406,15965.90280532837,682.078125
5,2790,hybrid,7.329702377319336,15965.90280532837,682.078125
10,5580,tfidf,4.0454864501953125,31121.588945388794,738.59375
10,5580,minhash,1.810630162556966,31121.588945388794,738.59375
10,5580,simhash,5.181789398193359,31121.588945388794,738.59375
10,5580,hybrid,10.356664657592773,31121.588945388794,738.59375
